index,Distributed Energy_2050_Export Capacity (MW),Distributed Energy_2050_Export Capacity (MW),Distributed Energy_2050_Export Capacity (MW),DistributedEnergy_2050.csv_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),GlobalAmbition_2050.csv_Export Capacity (MW),Distributed Energy_2050_Import Capacity (MW),Distributed Energy_2050_Import Capacity (MW),Distributed Energy_2050_Import Capacity (MW),DistributedEnergy_2050.csv_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),GlobalAmbition_2050.csv_Import Capacity (MW)
TN00-IT00,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
UK00-UKNI,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
FI00-EE00,2500.0,2500.0,2500.0,2500.0,2000.0,2000.0,2000.0,2000.0,2516.0,2516.0,2516.0,2516.0,2016.0,2016.0,2016.0,2016.0
SK00-PL00,2490.0,2490.0,2490.0,2490.0,1490.0,1490.0,1490.0,1490.0,2490.0,2490.0,2490.0,2490.0,1490.0,1490.0,1490.0,1490.0
IT00-AT00,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
PL00-CZ00,2800.0,2800.0,2800.0,2800.0,1800.0,1800.0,1800.0,1800.0,2600.0,2600.0,2600.0,2600.0,1600.0,1600.0,1600.0,1600.0
GR03-GR00,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0
PL00-DE00,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
IT00-CH00,1900.0,1900.0,1900.0,1900.0,2900.0,2900.0,2900.0,2900.0,3950.0,3950.0,3950.0,3950.0,4950.0,4950.0,4950.0,4950.0
UK00-FR00,8400.0,8400.0,8400.0,8400.0,,,,,8400.0,8400.0,8400.0,8400.0,,,,
FR00-BE00,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
UK00-NOS0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0
DE00-CH00,3600.0,3600.0,3600.0,3600.0,3850.0,3850.0,3850.0,3850.0,4300.0,4300.0,4300.0,4300.0,4900.0,4900.0,4900.0,4900.0
FR00-DE00,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
FR00-CH00,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,6200.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0
MK00-AL00,2500.0,2500.0,2500.0,2500.0,2000.0,2000.0,2000.0,2000.0,2500.0,2500.0,2500.0,2500.0,2000.0,2000.0,2000.0,2000.0
FR00-UK00,,,,,5400.0,5400.0,5400.0,5400.0,,,,,5400.0,5400.0,5400.0,5400.0
SE03-LV00,,,,,500.0,500.0,500.0,500.0,,,,,500.0,500.0,500.0,500.0
UK00-BE00,,,,,3800.0,3800.0,3800.0,3800.0,,,,,3800.0,3800.0,3800.0,3800.0
