t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_374,0.287,0.235,0.235,0.235,0.001,0.118,0.001
t_375,0.265,0.173,0.173,0.173,0.0,0.087,0.0
t_376,0.231,0.193,0.193,0.193,0.0,0.097,0.0
t_377,0.214,0.247,0.247,0.247,0.0,0.124,0.0
t_378,0.206,0.28,0.28,0.28,0.0,0.14,0.0
t_379,0.234,0.316,0.316,0.316,0.0,0.158,0.0
t_380,0.316,0.38,0.38,0.38,0.0,0.19,0.0
t_381,0.356,0.463,0.463,0.463,0.001,0.232,0.001
t_382,0.348,0.526,0.526,0.526,0.001,0.264,0.001
t_383,0.34,0.519,0.519,0.519,0.001,0.26,0.001
t_384,0.313,0.301,0.301,0.301,0.002,0.152,0.002
t_385,0.332,0.271,0.271,0.271,0.011,0.141,0.011
t_386,0.337,0.232,0.232,0.232,0.016,0.124,0.016
t_387,0.366,0.183,0.183,0.183,0.023,0.103,0.023
t_388,0.354,0.146,0.146,0.146,0.051,0.099,0.051
t_389,0.338,0.147,0.147,0.147,0.082,0.115,0.082
t_390,0.339,0.285,0.285,0.285,0.089,0.187,0.089
t_391,0.304,0.303,0.303,0.303,0.109,0.206,0.109
t_392,0.22,0.324,0.324,0.324,0.129,0.227,0.129
t_393,0.19,0.292,0.292,0.292,0.132,0.212,0.132
t_394,0.103,0.132,0.132,0.132,0.092,0.112,0.092
t_395,0.048,0.163,0.163,0.163,0.076,0.12,0.076
t_396,0.036,0.359,0.359,0.359,0.073,0.216,0.073
t_397,0.023,0.462,0.462,0.462,0.043,0.253,0.043
t_398,0.017,0.534,0.534,0.534,0.019,0.277,0.019
t_399,0.019,0.52,0.52,0.52,0.025,0.273,0.025
t_400,0.023,0.326,0.326,0.326,0.036,0.181,0.036
t_401,0.031,0.538,0.538,0.538,0.057,0.298,0.057
t_402,0.035,0.75,0.75,0.75,0.08,0.415,0.08
t_403,0.039,0.908,0.908,0.908,0.079,0.494,0.079
t_404,0.053,0.978,0.978,0.978,0.143,0.561,0.143
t_405,0.074,0.976,0.976,0.976,0.2,0.588,0.2
t_406,0.113,0.981,0.981,0.981,0.25,0.616,0.25
t_407,0.095,0.975,0.975,0.975,0.264,0.62,0.264
t_408,0.071,0.979,0.979,0.979,0.33,0.655,0.33
t_409,0.077,0.941,0.941,0.941,0.395,0.668,0.395
t_410,0.107,0.882,0.882,0.882,0.457,0.67,0.457
t_411,0.128,0.786,0.786,0.786,0.563,0.675,0.563
t_412,0.134,0.649,0.649,0.649,0.653,0.651,0.653
t_413,0.153,0.558,0.558,0.558,0.745,0.652,0.745
t_414,0.18,0.485,0.485,0.485,0.795,0.64,0.795
t_415,0.184,0.445,0.445,0.445,0.812,0.629,0.812
t_416,0.166,0.39,0.39,0.39,0.812,0.601,0.812
t_417,0.128,0.336,0.336,0.336,0.747,0.542,0.747
t_418,0.117,0.315,0.315,0.315,0.702,0.509,0.702
t_419,0.154,0.328,0.328,0.328,0.701,0.515,0.701
t_420,0.177,0.367,0.367,0.367,0.721,0.544,0.721
t_421,0.188,0.353,0.353,0.353,0.71,0.532,0.71
t_422,0.159,0.3,0.3,0.3,0.64,0.47,0.64
t_423,0.111,0.325,0.325,0.325,0.577,0.451,0.577
t_424,0.079,0.594,0.594,0.594,0.593,0.594,0.593
t_425,0.079,0.677,0.677,0.677,0.624,0.651,0.624
t_426,0.087,0.833,0.833,0.833,0.616,0.725,0.616
t_427,0.117,0.835,0.835,0.835,0.648,0.742,0.648
t_428,0.136,0.882,0.882,0.882,0.687,0.785,0.687
t_429,0.17,0.706,0.706,0.706,0.737,0.722,0.737
t_430,0.185,0.721,0.721,0.721,0.788,0.755,0.788
t_431,0.177,0.711,0.711,0.711,0.852,0.782,0.852
t_432,0.187,0.655,0.655,0.655,0.924,0.79,0.924
t_433,0.155,0.597,0.597,0.597,0.966,0.782,0.966
