scenario,zone,tech,weather_year,2030,2035,2040,2050,Unnamed: 8,Unnamed: 9
GlobalAmbition,BG00,pvrf,2009,7292.9182,10323.8031,13354.6879,17116.0224,,
DistributedEnergy,BG00,windof,1995,,,,377.2914,,
DistributedEnergy,BG00,windof,2008,,,,363.4692,,
DistributedEnergy,BG00,windof,2009,,,,336.6842,,
GlobalAmbition,BG00,windof,1995,993.0187,1497.4659,2001.913,2001.913,,
GlobalAmbition,BG00,windof,2008,956.6392,1441.1457,1925.6522,1925.6522,,
GlobalAmbition,BG00,windof,2009,886.1418,1333.3081,1780.4744,1780.4744,,
DistributedEnergy,BG00,windon,1995,5219.0643,12113.7377,19008.411,30992.5859,,
DistributedEnergy,BG00,windon,2008,5069.0914,11938.9969,18808.9023,30247.2691,,
DistributedEnergy,BG00,windon,2009,4868.8864,11436.2556,18003.6247,28883.246,,
GlobalAmbition,BG00,windon,1995,5650.2685,8700.9668,11751.6651,16923.5047,,
GlobalAmbition,BG00,windon,2008,5459.3769,8420.0706,11380.7643,16450.2912,,
GlobalAmbition,BG00,windon,2009,5237.1458,8037.0836,10837.0214,15545.779,,
DistributedEnergy,CH00,battery,1995,278.962,596.3839,913.8058,2612.8696,,
DistributedEnergy,CH00,battery,2008,238.3412,544.7334,851.1255,2635.9833,,
DistributedEnergy,CH00,battery,2009,260.597,570.8978,881.1986,2563.2019,,
GlobalAmbition,CH00,battery,1995,190.5073,534.5949,878.6825,1207.1915,,
GlobalAmbition,CH00,battery,2008,175.4632,451.6341,727.8049,1062.7543,,
GlobalAmbition,CH00,battery,2009,197.9842,489.3276,780.671,1174.1189,,
DistributedEnergy,CH00,biomass,1995,3484.8,3932.4,4380.0,8712.0,,
DistributedEnergy,CH00,biomass,2008,3484.8,3932.4,4380.0,8712.0,,
DistributedEnergy,CH00,biomass,2009,3484.8,3932.4,4380.0,8712.0,,
GlobalAmbition,CH00,biomass,1995,3484.8,3932.4,4380.0,8736.0,,
GlobalAmbition,CH00,biomass,2008,3484.8,3932.4,4380.0,8736.0,,
GlobalAmbition,CH00,biomass,2009,3484.8,3932.4,4380.0,8736.0,,
DistributedEnergy,CH00,gas,1995,1595.6043,1603.8189,1612.0335,1163.8189,,
DistributedEnergy,CH00,gas,2008,1595.6043,1535.2297,1474.8551,1039.3759,,
DistributedEnergy,CH00,gas,2009,1595.6043,1587.2321,1578.8598,1235.8956,,
GlobalAmbition,CH00,gas,1995,1595.6043,1497.8022,1400.0,1000.0,,
GlobalAmbition,CH00,gas,2008,1595.6043,1497.8022,1400.0,1000.0,,
GlobalAmbition,CH00,gas,2009,1595.6043,1497.8022,1400.0,1000.0,,
DistributedEnergy,CH00,nuclear,1995,9300.5906,4650.2953,,,,
DistributedEnergy,CH00,nuclear,2008,9339.616,4669.808,,,,
DistributedEnergy,CH00,nuclear,2009,9295.0118,4647.5059,,,,
GlobalAmbition,CH00,nuclear,1995,23296.3094,15693.9303,8091.5511,,,
GlobalAmbition,CH00,nuclear,2008,22897.464,15513.0685,8128.673,,,
GlobalAmbition,CH00,nuclear,2009,23066.2473,15663.2768,8260.3063,,,
DistributedEnergy,CH00,pvrf,1995,7126.9132,8646.544,10166.1749,11924.8198,,
DistributedEnergy,CH00,pvrf,2008,7124.5502,8651.4166,10178.2831,11920.8661,,
DistributedEnergy,CH00,pvrf,2009,7400.8261,8979.0129,10557.1996,12383.1336,,
GlobalAmbition,CH00,pvrf,1995,6619.4912,7081.1505,7542.8098,,,
GlobalAmbition,CH00,pvrf,2008,6617.2965,7084.545,7551.7935,,,
GlobalAmbition,CH00,pvrf,2009,6873.9021,7353.4167,7832.9312,,,
DistributedEnergy,CH00,windon,1995,2479.8613,4304.6547,6129.4481,6339.8705,,
DistributedEnergy,CH00,windon,2008,2256.5279,3904.7259,5552.9239,5748.2902,,
DistributedEnergy,CH00,windon,2009,2120.3025,3672.8659,5225.4294,5373.8648,,
GlobalAmbition,CH00,windon,1995,599.1634,853.7352,1108.3069,1108.3069,,
GlobalAmbition,CH00,windon,2008,555.2496,785.1048,1014.96,1014.96,,
GlobalAmbition,CH00,windon,2009,535.0815,752.0921,969.1027,969.1027,,
DistributedEnergy,CY00,battery,1995,93.9556,171.113,248.2703,614.114,,
DistributedEnergy,CY00,battery,2008,93.5941,175.8406,258.0871,609.772,,
DistributedEnergy,CY00,battery,2009,96.6501,175.8749,255.0997,612.1462,,
GlobalAmbition,CY00,battery,1995,61.3522,107.2024,153.0525,304.7813,,
GlobalAmbition,CY00,battery,2008,57.8761,106.6973,155.5186,309.2843,,
GlobalAmbition,CY00,battery,2009,60.4012,107.8939,155.3867,294.3655,,
DistributedEnergy,CY00,biomass,1995,64.82,63.5734,62.3267,51.7239,,
DistributedEnergy,CY00,biomass,2008,64.6669,63.4388,62.2106,51.3636,,
DistributedEnergy,CY00,biomass,2009,64.7791,63.7936,62.8082,51.8498,,
GlobalAmbition,CY00,biomass,1995,65.445,64.5355,63.626,61.3836,,
GlobalAmbition,CY00,biomass,2008,65.2324,64.2103,63.1881,61.2607,,
GlobalAmbition,CY00,biomass,2009,65.054,64.3233,63.5927,61.7759,,
DistributedEnergy,CY00,dsr,1995,,13.909,27.8181,56.9195,,
DistributedEnergy,CY00,dsr,2008,,8.2734,16.5468,32.8276,,
DistributedEnergy,CY00,dsr,2009,,11.2806,22.5613,41.4454,,
GlobalAmbition,CY00,dsr,1995,,1.3695,2.739,40.7953,,
GlobalAmbition,CY00,dsr,2008,,,,15.8057,,
GlobalAmbition,CY00,dsr,2009,,0.2,0.4,25.5827,,
DistributedEnergy,CY00,gas,1995,1084.8049,1231.654,1378.5032,834.4383,,
DistributedEnergy,CY00,gas,2008,1022.5495,1135.1956,1247.8416,754.1824,,
DistributedEnergy,CY00,gas,2009,997.0187,1093.0148,1189.011,775.6484,,
GlobalAmbition,CY00,gas,1995,1179.1386,1147.7299,1116.3211,1062.4619,,
GlobalAmbition,CY00,gas,2008,1105.0379,1063.2683,1021.4987,1023.7132,,
GlobalAmbition,CY00,gas,2009,1028.9611,1017.1123,1005.2634,1043.839,,
DistributedEnergy,CY00,pvrf,1995,2373.1945,2842.08,3310.9654,4287.1072,,
DistributedEnergy,CY00,pvrf,2008,2378.3438,2843.969,3309.5943,4325.3285,,
DistributedEnergy,CY00,pvrf,2009,2299.7524,2755.1883,3210.6242,4232.4736,,
GlobalAmbition,CY00,pvrf,1995,2138.9513,2563.1323,2987.3133,3526.1162,,
GlobalAmbition,CY00,pvrf,2008,2145.0138,2566.1821,2987.3503,3524.2248,,
GlobalAmbition,CY00,pvrf,2009,2071.8047,2484.4415,2897.0783,3422.5377,,
DistributedEnergy,CY00,windon,1995,483.7423,471.2282,458.7142,1727.2582,,
DistributedEnergy,CY00,windon,2008,516.5101,506.4889,496.4677,1891.0697,,
DistributedEnergy,CY00,windon,2009,581.4136,569.5799,557.7463,2093.749,,
GlobalAmbition,CY00,windon,1995,488.096,478.2025,468.309,483.9217,,
GlobalAmbition,CY00,windon,2008,523.3253,513.211,503.0966,521.8914,,
GlobalAmbition,CY00,windon,2009,586.1621,575.0357,563.9093,581.9722,,
DistributedEnergy,CZ00,battery,1995,3502.1035,5911.4966,8320.8898,9049.0252,,
DistributedEnergy,CZ00,battery,2008,3519.4208,5961.7713,8404.1217,9246.3843,,
DistributedEnergy,CZ00,battery,2009,3555.5426,5826.9481,8098.3535,9243.7582,,
