time_step,DE00,AT00,FR00,IT00
t_1130,21.78734758,21.78734758,21.78734758,21.78734758
t_1131,21.78734758,21.78734758,21.78734758,21.78734758
t_1132,22.31537535,22.31537535,22.31537535,22.31537535
t_1133,21.78734759,21.78734759,21.78734759,21.78734759
t_1134,1.95E+01,1.95E+01,1.95E+01,1.95E+01
t_1135,1.73E+01,1.73E+01,1.73E+01,1.73E+01
t_1136,1.73E+01,1.73E+01,1.73E+01,1.73E+01
t_1137,4.50E+00,4.50E+00,4.50E+00,4.50E+00
t_1138,2.25E+00,2.25E+00,2.25E+00,2.25E+00
t_1139,2.25E+00,2.25E+00,2.25E+00,2.25E+00
t_114,59.10273065,59.10273065,59.10273065,59.10273065
t_1140,2.25E+00,2.25E+00,2.25E+00,2.25E+00
t_1141,2.25E+00,2.25E+00,2.25E+00,2.25E+00
t_1142,2.25E+00,2.25E+00,2.25E+00,2.25E+00
t_1143,2.25E+00,2.25E+00,2.25E+00,2.25E+00
t_1144,1.44E+01,1.44E+01,1.44E+01,1.44E+01
t_1145,22.75796979,22.75796979,22.75796979,22.75796979
t_1146,39.2628947,39.2628947,39.2628947,39.2628947
t_1147,44.19047585,44.19047585,44.19047585,44.19047585
t_1148,44.19047585,44.19047585,44.19047585,44.19047585
t_1149,44.19047585,44.19047585,44.19047585,44.19047585
t_115,59.10273065,59.10273065,59.10273065,59.10273065
t_1150,44.19047585,44.19047585,44.19047585,44.19047585
t_1151,44.19047585,44.19047585,44.19047585,44.19047585
t_1152,44.19047585,44.19047585,44.19047585,44.19047585
t_1153,43.21985363,43.21985363,43.21985363,43.21985363
t_1154,43.21985363,43.21985363,43.21985363,43.21985363
t_1155,43.21985363,43.21985363,43.21985363,43.21985363
t_1156,43.21985363,43.21985363,43.21985363,43.21985363
t_1157,43.21985363,43.21985363,43.21985363,43.21985363
t_1158,43.21985363,43.21985363,43.21985363,43.21985363
t_1159,43.21985363,43.21985363,43.21985363,43.21985363
t_116,59.10273065,59.10273065,59.10273065,59.10273065
t_1160,43.21985363,43.21985363,43.21985363,43.21985363
t_1161,39.56408521,39.56408521,39.56408521,39.56408521
t_1162,28.18250606,28.18250606,28.18250606,28.18250606
t_1163,28.18250606,28.18250606,28.18250606,28.18250606
t_1164,27.63534184,27.63534184,27.63534184,27.63534184
t_1165,25.93250606,25.93250606,25.93250606,25.93250606
t_1166,25.93250606,25.93250606,25.93250606,25.93250606
t_1167,27.63534183,27.63534183,27.63534183,27.63534183
t_1168,28.18250606,28.18250606,28.18250606,28.18250606
t_1169,41.14875909,41.14875909,41.14875909,41.14875909
t_117,59.10273065,59.10273065,59.10273065,59.10273065
t_1170,43.21985363,43.21985363,43.21985363,43.21985363
t_1171,43.21985363,43.21985363,43.21985363,43.21985363
t_1172,43.21985363,43.21985363,43.21985363,43.21985363
t_1173,43.21985363,43.21985363,43.21985363,43.21985363
t_1174,43.21985363,43.21985363,43.21985363,43.21985363
t_1175,43.21985363,43.21985363,43.21985363,43.21985363
t_1176,43.21985363,43.21985363,43.21985363,43.21985363
t_1177,43.21985363,43.21985363,43.21985363,43.21985363
t_1178,43.21985363,43.21985363,43.21985363,43.21985363
t_1179,43.21985363,43.21985363,43.21985363,43.21985363
t_118,59.10273065,59.10273065,59.10273065,59.10273065
t_1180,43.21985363,43.21985363,43.21985363,43.21985363
t_1181,43.21985363,43.21985363,43.21985363,43.21985363
t_1182,43.21985363,43.21985363,43.21985363,43.21985363
t_1183,43.21985363,43.21985363,43.21985363,43.21985363
t_1184,41.14875909,41.14875909,41.14875909,41.14875909
t_1185,14.81194382,14.81194382,14.81194382,14.81194382
t_1186,12.75246245,12.75246245,12.75246245,12.75246245
t_1187,12.75246245,12.75246245,12.75246245,12.75246245
t_1188,12.32475995,12.32475995,12.32475995,12.32475995
t_1189,12.20529823,12.20529823,12.20529823,12.20529823
t_119,59.10298065,59.10298065,59.10298065,59.10298065
t_1190,12.20529823,12.20529823,12.20529823,12.20529823
t_1191,14.8267338,14.8267338,14.8267338,14.8267338
t_1192,28.18250606,28.18250606,28.18250606,28.18250606
t_1193,43.21985363,43.21985363,43.21985363,43.21985363
t_1194,43.21985363,43.21985363,43.21985363,43.21985363
t_1195,43.21985363,43.21985363,43.21985363,43.21985363
t_1196,43.21985363,43.21985363,43.21985363,43.21985363
t_1197,43.21985363,43.21985363,43.21985363,43.21985363
t_1198,43.21985363,43.21985363,43.21985363,43.21985363
t_1199,43.21985363,43.21985363,43.21985363,43.21985363
t_12,27.37388764,27.37388764,27.37388764,27.37388764
t_120,59.10273065,59.10273065,59.10273065,59.10273065
t_1200,43.21985363,43.21985363,43.21985363,43.21985363
t_1201,43.21985363,43.21985363,43.21985363,43.21985363
t_1202,43.21985363,43.21985363,43.21985363,43.21985363
t_1203,43.21985363,43.21985363,43.21985363,43.21985363
t_1204,43.21985363,43.21985363,43.21985363,43.21985363
t_1205,43.21985363,43.21985363,43.21985363,43.21985363
t_1206,43.21985363,43.21985363,43.21985363,43.21985363
t_1207,43.21985363,43.21985363,43.21985363,43.21985363
t_1208,43.21985363,43.21985363,43.21985363,43.21985363
t_1209,39.93583147,39.93583147,39.93583147,39.93583147
t_121,59.10273065,59.10273065,59.10273065,59.10273065
t_1210,22.57876484,22.57876484,22.57876484,22.57876484
t_1211,22.57876484,22.57876484,22.57876484,22.57876484
t_1212,12.75246245,12.75246245,12.75246245,12.75246245
t_1213,12.75246245,12.75246245,12.75246245,12.75246245
t_1214,12.92866265,12.92866265,12.92866265,12.92866265
t_1215,25.04255541,25.04255541,25.04255541,25.04255541
t_1216,41.14875909,41.14875909,41.14875909,41.14875909
t_1217,54.93799906,54.93799906,54.93799906,54.93799906
t_1218,55.68379356,55.68379356,55.68379356,55.68379356
t_1219,55.68379356,55.68379356,55.68379356,55.68379356
t_122,59.10273065,59.10273065,59.10273065,59.10273065
t_1220,55.68379356,55.68379356,55.68379356,55.68379356
t_1221,55.68379356,55.68379356,55.68379356,55.68379356
t_1222,55.68379356,55.68379356,55.68379356,55.68379356
t_1223,55.68379356,55.68379356,55.68379356,55.68379356
t_1224,55.68379356,55.68379356,55.68379356,55.68379356
t_1225,55.68379356,55.68379356,55.68379356,55.68379356
t_1226,55.68379356,55.68379356,55.68379356,55.68379356
t_1227,55.64985722,55.64985722,55.64985722,55.64985722
t_1228,54.93799906,54.93799906,54.93799906,54.93799906
t_1229,54.93799906,54.93799906,54.93799906,54.93799906
t_123,58.39064335,58.39064335,58.39064335,58.39064335
t_1230,55.35361511,55.35361511,55.35361511,55.35361511
t_1231,55.68379356,55.68379356,55.68379356,55.68379356
t_1232,54.93799906,54.93799906,54.93799906,54.93799906
t_1233,48.04977624,48.04977624,48.04977624,48.04977624
t_1234,37.61611241,37.61611241,37.61611241,37.61611241
t_1235,37.61611241,37.61611241,37.61611241,37.61611241
t_1236,37.61611241,37.61611241,37.61611241,37.61611241
t_1237,37.60377773,37.60377773,37.60377773,37.60377773
t_1238,37.61611241,37.61611241,37.61611241,37.61611241
t_1239,37.61611241,37.61611241,37.61611241,37.61611241
t_124,54.27484923,54.27484923,54.27484923,54.27484923
t_1240,48.04977624,48.04977624,48.04977624,48.04977624
t_1241,55.68379358,55.68379358,55.68379358,55.68379358
t_1242,55.68379358,55.68379358,55.68379358,55.68379358
t_1243,55.68379358,55.68379358,55.68379358,55.68379358
t_1244,55.68379358,55.68379358,55.68379358,55.68379358
t_1245,55.68379358,55.68379358,55.68379358,55.68379358
t_1246,55.68379358,55.68379358,55.68379358,55.68379358
t_1247,55.68379358,55.68379358,55.68379358,55.68379358
t_1248,55.68379358,55.68379358,55.68379358,55.68379358
t_1249,55.68379357,55.68379357,55.68379357,55.68379357
t_125,54.27484923,54.27484923,54.27484923,54.27484923
t_1250,55.68379356,55.68379356,55.68379356,55.68379356
t_1251,55.68379356,55.68379356,55.68379356,55.68379356
t_1252,50.10263028,50.10263028,50.10263028,50.10263028
t_1253,50.61912625,50.61912625,50.61912625,50.61912625
t_1254,53.22000299,53.22000299,53.22000299,53.22000299
t_1255,55.68379358,55.68379358,55.68379358,55.68379358
t_1256,55.68379356,55.68379356,55.68379356,55.68379356
t_1257,46.53425078,46.53425078,46.53425078,46.53425078
t_1258,44.07046021,44.07046021,44.07046021,44.07046021
t_1259,38.29227248,38.29227248,38.29227248,38.29227248
t_126,54.27484923,54.27484923,54.27484923,54.27484923
t_1260,38.29227248,38.29227248,38.29227248,38.29227248
t_1261,38.29227248,38.29227248,38.29227248,38.29227248
t_1262,44.07046021,44.07046021,44.07046021,44.07046021
t_1263,46.53425078,46.53425078,46.53425078,46.53425078
t_1264,55.70008989,55.70008989,55.70008989,55.70008989
t_1265,56.33323176,56.33323176,56.33323176,56.33323176
t_1266,56.33323176,56.33323176,56.33323176,56.33323176
t_1267,56.33323176,56.33323176,56.33323176,56.33323176
t_1268,56.33323176,56.33323176,56.33323176,56.33323176
t_1269,56.33323176,56.33323176,56.33323176,56.33323176
