time_step,AT00,DE00,FR00,IT00
t_1658,64.0,100.0,50.0,146.0
t_1659,62.0,95.0,45.0,129.0
t_1660,52.0,93.0,43.0,125.0
t_1661,56.0,91.0,42.0,124.0
t_1662,56.0,95.0,38.0,130.0
t_1663,56.0,84.0,49.0,117.0
t_1664,56.0,84.0,49.0,112.0
t_1665,58.0,80.0,44.0,83.0
t_1666,58.0,78.0,41.0,73.0
t_1667,56.0,80.0,36.0,61.0
t_1668,55.0,77.0,28.0,59.0
t_1669,56.0,79.0,30.0,66.0
t_1670,58.0,79.0,32.0,87.0
t_1671,61.0,86.0,40.0,125.0
t_1672,63.0,90.0,46.0,140.0
t_1673,66.0,97.0,48.0,152.0
t_1674,70.0,105.0,56.0,156.0
t_1675,74.0,112.0,65.0,159.0
t_1676,73.0,110.0,66.0,160.0
t_1677,73.0,108.0,66.0,159.0
t_1678,71.0,106.0,62.0,158.0
t_1679,70.0,102.0,67.0,150.0
t_1680,68.0,105.0,67.0,148.0
t_1681,75.0,143.0,56.0,168.0
t_1682,70.0,132.0,46.0,159.0
t_1683,67.0,125.0,44.0,172.0
t_1684,67.0,120.0,39.0,165.0
t_1685,67.0,120.0,39.0,163.0
t_1686,68.0,130.0,43.0,154.0
t_1687,76.0,141.0,50.0,163.0
t_1688,89.0,159.0,61.0,186.0
t_1689,88.0,158.0,59.0,163.0
t_1690,124.0,104.0,104.0,94.0
t_1691,121.0,95.0,84.0,135.0
t_1692,119.0,92.0,72.0,204.0
t_1693,120.0,93.0,70.0,131.0
t_1694,115.0,115.0,76.0,93.0
t_1695,111.0,159.0,60.0,188.0
t_1696,116.0,170.0,70.0,323.0
t_1697,108.0,173.0,74.0,319.0
t_1698,128.0,207.0,100.0,344.0
t_1699,170.0,267.0,148.0,397.0
t_1700,135.0,212.0,129.0,342.0
t_1701,109.0,174.0,85.0,340.0
t_1702,111.0,166.0,82.0,311.0
t_1703,106.0,160.0,79.0,289.0
t_1704,81.0,150.0,70.0,223.0
t_1705,75.0,143.0,56.0,168.0
t_1706,70.0,132.0,46.0,159.0
t_1707,67.0,125.0,44.0,172.0
t_1708,67.0,120.0,39.0,165.0
t_1709,67.0,120.0,39.0,163.0
t_1710,68.0,130.0,43.0,154.0
t_1711,76.0,141.0,50.0,163.0
t_1712,89.0,159.0,61.0,186.0
t_1713,88.0,158.0,59.0,163.0
t_1714,124.0,104.0,104.0,94.0
t_1715,121.0,95.0,84.0,135.0
t_1716,119.0,92.0,72.0,204.0
t_1717,120.0,93.0,70.0,131.0
t_1718,115.0,115.0,76.0,93.0
t_1719,111.0,159.0,60.0,188.0
t_1720,116.0,170.0,70.0,323.0
t_1721,108.0,173.0,74.0,319.0
t_1722,128.0,207.0,100.0,344.0
t_1723,170.0,267.0,148.0,397.0
t_1724,135.0,212.0,129.0,342.0
t_1725,109.0,174.0,85.0,340.0
t_1726,111.0,166.0,82.0,311.0
t_1727,106.0,160.0,79.0,289.0
t_1728,81.0,150.0,70.0,223.0
t_1729,75.0,143.0,56.0,168.0
t_1730,70.0,132.0,46.0,159.0
t_1731,67.0,125.0,44.0,172.0
t_1732,67.0,120.0,39.0,165.0
t_1733,67.0,120.0,39.0,163.0
t_1734,68.0,130.0,43.0,154.0
t_1735,76.0,141.0,50.0,163.0
t_1736,89.0,159.0,61.0,186.0
t_1737,88.0,158.0,59.0,163.0
t_1738,124.0,104.0,104.0,94.0
t_1739,121.0,95.0,84.0,135.0
t_1740,119.0,92.0,72.0,204.0
t_1741,120.0,93.0,70.0,131.0
t_1742,115.0,115.0,76.0,93.0
t_1743,111.0,159.0,60.0,188.0
t_1744,116.0,170.0,70.0,323.0
t_1745,108.0,173.0,74.0,319.0
t_1746,128.0,207.0,100.0,344.0
t_1747,170.0,267.0,148.0,397.0
t_1748,135.0,212.0,129.0,342.0
t_1749,109.0,174.0,85.0,340.0
t_1750,111.0,166.0,82.0,311.0
t_1751,106.0,160.0,79.0,289.0
t_1752,81.0,150.0,70.0,223.0
t_1753,75.0,143.0,56.0,168.0
t_1754,70.0,132.0,46.0,159.0
t_1755,67.0,125.0,44.0,172.0
t_1756,67.0,120.0,39.0,165.0
t_1757,67.0,120.0,39.0,163.0
t_1758,68.0,130.0,43.0,154.0
t_1759,76.0,141.0,50.0,163.0
t_1760,89.0,159.0,61.0,186.0
t_1761,88.0,158.0,59.0,163.0
t_1762,124.0,104.0,104.0,94.0
t_1763,121.0,95.0,84.0,135.0
t_1764,119.0,92.0,72.0,204.0
t_1765,120.0,93.0,70.0,131.0
t_1766,115.0,115.0,76.0,93.0
t_1767,111.0,159.0,60.0,188.0
t_1768,116.0,170.0,70.0,323.0
t_1769,108.0,173.0,74.0,319.0
t_1770,128.0,207.0,100.0,344.0
t_1771,170.0,267.0,148.0,397.0
t_1772,135.0,212.0,129.0,342.0
t_1773,109.0,174.0,85.0,340.0
t_1774,111.0,166.0,82.0,311.0
t_1775,106.0,160.0,79.0,289.0
t_1776,81.0,150.0,70.0,223.0
t_1777,75.0,143.0,56.0,168.0
t_1778,70.0,132.0,46.0,159.0
t_1779,67.0,125.0,44.0,172.0
t_1780,67.0,120.0,39.0,165.0
t_1781,67.0,120.0,39.0,163.0
t_1782,68.0,130.0,43.0,154.0
t_1783,76.0,141.0,50.0,163.0
t_1784,89.0,159.0,61.0,186.0
t_1785,88.0,158.0,59.0,163.0
t_1786,124.0,104.0,104.0,94.0
t_1787,121.0,95.0,84.0,135.0
t_1788,119.0,92.0,72.0,204.0
t_1789,120.0,93.0,70.0,131.0
t_1790,115.0,115.0,76.0,93.0
t_1791,111.0,159.0,60.0,188.0
t_1792,116.0,170.0,70.0,323.0
t_1793,108.0,173.0,74.0,319.0
t_1794,128.0,207.0,100.0,344.0
t_1795,170.0,267.0,148.0,397.0
t_1796,135.0,212.0,129.0,342.0
t_1797,109.0,174.0,85.0,340.0
t_1798,111.0,166.0,82.0,311.0
t_1799,106.0,160.0,79.0,289.0
t_1800,81.0,150.0,70.0,223.0
t_1801,72.0,108.0,59.0,137.0
t_1802,61.0,106.0,51.0,150.0
t_1803,57.0,97.0,47.0,145.0
t_1804,56.0,96.0,44.0,143.0
t_1805,56.0,95.0,43.0,142.0
t_1806,57.0,95.0,47.0,143.0
t_1807,57.0,101.0,48.0,138.0
t_1808,61.0,101.0,47.0,135.0
t_1809,66.0,95.0,58.0,86.0
t_1810,79.0,66.0,74.0,64.0
t_1811,76.0,64.0,53.0,75.0
t_1812,81.0,55.0,47.0,57.0
t_1813,90.0,56.0,53.0,48.0
t_1814,85.0,75.0,53.0,72.0
t_1815,75.0,99.0,44.0,123.0
t_1816,74.0,105.0,47.0,149.0
t_1817,72.0,116.0,56.0,142.0
t_1818,75.0,111.0,61.0,151.0
t_1819,75.0,112.0,64.0,154.0
t_1820,75.0,110.0,65.0,154.0
t_1821,73.0,109.0,63.0,152.0
t_1822,71.0,104.0,61.0,149.0
t_1823,70.0,114.0,61.0,147.0
t_1824,71.0,110.0,62.0,159.0
t_1825,65.0,108.0,60.0,143.0
t_1826,64.0,100.0,50.0,146.0
t_1827,62.0,95.0,45.0,129.0
t_1828,52.0,93.0,43.0,125.0
t_1829,56.0,91.0,42.0,124.0
t_1830,56.0,95.0,38.0,130.0
t_1831,56.0,84.0,49.0,117.0
t_1832,56.0,84.0,49.0,112.0
t_1833,58.0,80.0,44.0,83.0
t_1834,58.0,78.0,41.0,73.0
t_1835,56.0,80.0,36.0,61.0
t_1836,55.0,77.0,28.0,59.0
t_1837,56.0,79.0,30.0,66.0
t_1838,58.0,79.0,32.0,87.0
t_1839,61.0,86.0,40.0,125.0
t_1840,63.0,90.0,46.0,140.0
t_1841,66.0,97.0,48.0,152.0
t_1842,70.0,105.0,56.0,156.0
t_1843,74.0,112.0,65.0,159.0
t_1844,73.0,110.0,66.0,160.0
t_1845,73.0,108.0,66.0,159.0
t_1846,71.0,106.0,62.0,158.0
t_1847,70.0,102.0,67.0,150.0
t_1848,68.0,105.0,67.0,148.0
t_1849,75.0,143.0,56.0,168.0
t_1850,70.0,132.0,46.0,159.0
t_1851,67.0,125.0,44.0,172.0
t_1852,67.0,120.0,39.0,165.0
t_1853,67.0,120.0,39.0,163.0
t_1854,68.0,130.0,43.0,154.0
t_1855,76.0,141.0,50.0,163.0
t_1856,89.0,159.0,61.0,186.0
t_1857,88.0,158.0,59.0,163.0
t_1858,124.0,104.0,104.0,94.0
t_1859,121.0,95.0,84.0,135.0
t_1860,119.0,92.0,72.0,204.0
t_1861,120.0,93.0,70.0,131.0
t_1862,115.0,115.0,76.0,93.0
t_1863,111.0,159.0,60.0,188.0
t_1864,116.0,170.0,70.0,323.0
t_1865,108.0,173.0,74.0,319.0
t_1866,128.0,207.0,100.0,344.0
t_1867,170.0,267.0,148.0,397.0
t_1868,135.0,212.0,129.0,342.0
t_1869,109.0,174.0,85.0,340.0
t_1870,111.0,166.0,82.0,311.0
t_1871,106.0,160.0,79.0,289.0
t_1872,81.0,150.0,70.0,223.0
t_1873,75.0,143.0,56.0,168.0
t_1874,70.0,132.0,46.0,159.0
t_1875,67.0,125.0,44.0,172.0
t_1876,67.0,120.0,39.0,165.0
t_1877,67.0,120.0,39.0,163.0
t_1878,68.0,130.0,43.0,154.0
t_1879,76.0,141.0,50.0,163.0
t_1880,89.0,159.0,61.0,186.0
t_1881,88.0,158.0,59.0,163.0
t_1882,124.0,104.0,104.0,94.0
t_1883,121.0,95.0,84.0,135.0
t_1884,119.0,92.0,72.0,204.0
t_1885,120.0,93.0,70.0,131.0
t_1886,115.0,115.0,76.0,93.0
t_1887,111.0,159.0,60.0,188.0
t_1888,116.0,170.0,70.0,323.0
t_1889,108.0,173.0,74.0,319.0
t_1890,128.0,207.0,100.0,344.0
t_1891,170.0,267.0,148.0,397.0
t_1892,135.0,212.0,129.0,342.0
t_1893,109.0,174.0,85.0,340.0
t_1894,111.0,166.0,82.0,311.0
t_1895,106.0,160.0,79.0,289.0
t_1896,81.0,150.0,70.0,223.0
t_1897,75.0,143.0,56.0,168.0
t_1898,70.0,132.0,46.0,159.0
t_1899,67.0,125.0,44.0,172.0
t_1900,67.0,120.0,39.0,165.0
t_1901,67.0,120.0,39.0,163.0
t_1902,68.0,130.0,43.0,154.0
t_1903,76.0,141.0,50.0,163.0
t_1904,89.0,159.0,61.0,186.0
t_1905,88.0,158.0,59.0,163.0
t_1906,124.0,104.0,104.0,94.0
t_1907,121.0,95.0,84.0,135.0
t_1908,119.0,92.0,72.0,204.0
t_1909,120.0,93.0,70.0,131.0
t_1910,115.0,115.0,76.0,93.0
t_1911,111.0,159.0,60.0,188.0
t_1912,116.0,170.0,70.0,323.0
t_1913,108.0,173.0,74.0,319.0
t_1914,128.0,207.0,100.0,344.0
t_1915,170.0,267.0,148.0,397.0
t_1916,135.0,212.0,129.0,342.0
t_1917,109.0,174.0,85.0,340.0
t_1918,111.0,166.0,82.0,311.0
t_1919,106.0,160.0,79.0,289.0
t_1920,81.0,150.0,70.0,223.0
t_1921,75.0,143.0,56.0,168.0
t_1922,70.0,132.0,46.0,159.0
t_1923,67.0,125.0,44.0,172.0
t_1924,67.0,120.0,39.0,165.0
t_1925,67.0,120.0,39.0,163.0
t_1926,68.0,130.0,43.0,154.0
t_1927,76.0,141.0,50.0,163.0
t_1928,89.0,159.0,61.0,186.0
t_1929,88.0,158.0,59.0,163.0
t_1930,124.0,104.0,104.0,94.0
t_1931,121.0,95.0,84.0,135.0
t_1932,119.0,92.0,72.0,204.0
t_1933,120.0,93.0,70.0,131.0
t_1934,115.0,115.0,76.0,93.0
t_1935,111.0,159.0,60.0,188.0
t_1936,116.0,170.0,70.0,323.0
t_1937,108.0,173.0,74.0,319.0
t_1938,128.0,207.0,100.0,344.0
t_1939,170.0,267.0,148.0,397.0
t_1940,135.0,212.0,129.0,342.0
t_1941,109.0,174.0,85.0,340.0
t_1942,111.0,166.0,82.0,311.0
t_1943,106.0,160.0,79.0,289.0
t_1944,81.0,150.0,70.0,223.0
t_1945,75.0,143.0,56.0,168.0
t_1946,70.0,132.0,46.0,159.0
t_1947,67.0,125.0,44.0,172.0
t_1948,67.0,120.0,39.0,165.0
t_1949,67.0,120.0,39.0,163.0
t_1950,68.0,130.0,43.0,154.0
t_1951,76.0,141.0,50.0,163.0
t_1952,89.0,159.0,61.0,186.0
t_1953,88.0,158.0,59.0,163.0
t_1954,124.0,104.0,104.0,94.0
t_1955,121.0,95.0,84.0,135.0
t_1956,119.0,92.0,72.0,204.0
t_1957,120.0,93.0,70.0,131.0
t_1958,115.0,115.0,76.0,93.0
t_1959,111.0,159.0,60.0,188.0
t_1960,116.0,170.0,70.0,323.0
t_1961,108.0,173.0,74.0,319.0
t_1962,128.0,207.0,100.0,344.0
t_1963,170.0,267.0,148.0,397.0
t_1964,135.0,212.0,129.0,342.0
t_1965,109.0,174.0,85.0,340.0
t_1966,111.0,166.0,82.0,311.0
t_1967,106.0,160.0,79.0,289.0
t_1968,81.0,150.0,70.0,223.0
t_1969,72.0,108.0,59.0,137.0
t_1970,61.0,106.0,51.0,150.0
t_1971,57.0,97.0,47.0,145.0
t_1972,56.0,96.0,44.0,143.0
t_1973,56.0,95.0,43.0,142.0
t_1974,57.0,95.0,47.0,143.0
t_1975,57.0,101.0,48.0,138.0
t_1976,61.0,101.0,47.0,135.0
t_1977,66.0,95.0,58.0,86.0
t_1978,79.0,66.0,74.0,64.0
t_1979,76.0,64.0,53.0,75.0
t_1980,81.0,55.0,47.0,57.0
t_1981,90.0,56.0,53.0,48.0
t_1982,85.0,75.0,53.0,72.0
t_1983,75.0,99.0,44.0,123.0
t_1984,74.0,105.0,47.0,149.0
t_1985,72.0,116.0,56.0,142.0
t_1986,75.0,111.0,61.0,151.0
t_1987,75.0,112.0,64.0,154.0
t_1988,75.0,110.0,65.0,154.0
t_1989,73.0,109.0,63.0,152.0
t_1990,71.0,104.0,61.0,149.0
t_1991,70.0,114.0,61.0,147.0
t_1992,71.0,110.0,62.0,159.0
t_1993,65.0,108.0,60.0,143.0
t_1994,64.0,100.0,50.0,146.0
t_1995,62.0,95.0,45.0,129.0
t_1996,52.0,93.0,43.0,125.0
t_1997,56.0,91.0,42.0,124.0
t_1998,56.0,95.0,38.0,130.0
t_1999,56.0,84.0,49.0,117.0
t_2000,56.0,84.0,49.0,112.0
t_2001,58.0,80.0,44.0,83.0
t_2002,58.0,78.0,41.0,73.0
t_2003,56.0,80.0,36.0,61.0
t_2004,55.0,77.0,28.0,59.0
t_2005,56.0,79.0,30.0,66.0
t_2006,58.0,79.0,32.0,87.0
t_2007,61.0,86.0,40.0,125.0
t_2008,63.0,90.0,46.0,140.0
t_2009,66.0,97.0,48.0,152.0
t_2010,70.0,105.0,56.0,156.0
t_2011,74.0,112.0,65.0,159.0
t_2012,73.0,110.0,66.0,160.0
t_2013,73.0,108.0,66.0,159.0
t_2014,71.0,106.0,62.0,158.0
t_2015,70.0,102.0,67.0,150.0
t_2016,68.0,105.0,67.0,148.0
t_2017,75.0,143.0,56.0,168.0
t_2018,70.0,132.0,46.0,159.0
t_2019,67.0,125.0,44.0,172.0
t_2020,67.0,120.0,39.0,165.0
t_2021,67.0,120.0,39.0,163.0
t_2022,68.0,130.0,43.0,154.0
t_2023,76.0,141.0,50.0,163.0
t_2024,89.0,159.0,61.0,186.0
t_2025,88.0,158.0,59.0,163.0
t_2026,124.0,104.0,104.0,94.0
t_2027,121.0,95.0,84.0,135.0
t_2028,119.0,92.0,72.0,204.0
t_2029,120.0,93.0,70.0,131.0
t_2030,115.0,115.0,76.0,93.0
t_2031,111.0,159.0,60.0,188.0
t_2032,116.0,170.0,70.0,323.0
t_2033,108.0,173.0,74.0,319.0
t_2034,128.0,207.0,100.0,344.0
t_2035,170.0,267.0,148.0,397.0
t_2036,135.0,212.0,129.0,342.0
t_2037,109.0,174.0,85.0,340.0
t_2038,111.0,166.0,82.0,311.0
t_2039,106.0,160.0,79.0,289.0
t_2040,81.0,150.0,70.0,223.0
t_2041,75.0,143.0,56.0,168.0
t_2042,70.0,132.0,46.0,159.0
t_2043,67.0,125.0,44.0,172.0
t_2044,67.0,120.0,39.0,165.0
t_2045,67.0,120.0,39.0,163.0
t_2046,68.0,130.0,43.0,154.0
t_2047,76.0,141.0,50.0,163.0
t_2048,89.0,159.0,61.0,186.0
t_2049,88.0,158.0,59.0,163.0
t_2050,124.0,104.0,104.0,94.0
t_2051,121.0,95.0,84.0,135.0
t_2052,119.0,92.0,72.0,204.0
t_2053,120.0,93.0,70.0,131.0
t_2054,115.0,115.0,76.0,93.0
t_2055,111.0,159.0,60.0,188.0
t_2056,116.0,170.0,70.0,323.0
t_2057,108.0,173.0,74.0,319.0
t_2058,128.0,207.0,100.0,344.0
t_2059,170.0,267.0,148.0,397.0
t_2060,135.0,212.0,129.0,342.0
t_2061,109.0,174.0,85.0,340.0
t_2062,111.0,166.0,82.0,311.0
t_2063,106.0,160.0,79.0,289.0
t_2064,81.0,150.0,70.0,223.0
t_2065,75.0,143.0,56.0,168.0
t_2066,70.0,132.0,46.0,159.0
t_2067,67.0,125.0,44.0,172.0
t_2068,67.0,120.0,39.0,165.0
t_2069,67.0,120.0,39.0,163.0
t_2070,68.0,130.0,43.0,154.0
t_2071,76.0,141.0,50.0,163.0
t_2072,89.0,159.0,61.0,186.0
t_2073,88.0,158.0,59.0,163.0
t_2074,124.0,104.0,104.0,94.0
t_2075,121.0,95.0,84.0,135.0
t_2076,119.0,92.0,72.0,204.0
t_2077,120.0,93.0,70.0,131.0
t_2078,115.0,115.0,76.0,93.0
t_2079,111.0,159.0,60.0,188.0
t_2080,116.0,170.0,70.0,323.0
t_2081,108.0,173.0,74.0,319.0
t_2082,128.0,207.0,100.0,344.0
t_2083,170.0,267.0,148.0,397.0
t_2084,135.0,212.0,129.0,342.0
t_2085,109.0,174.0,85.0,340.0
t_2086,111.0,166.0,82.0,311.0
t_2087,106.0,160.0,79.0,289.0
t_2088,81.0,150.0,70.0,223.0
t_2089,75.0,143.0,56.0,168.0
t_2090,70.0,132.0,46.0,159.0
t_2091,67.0,125.0,44.0,172.0
t_2092,67.0,120.0,39.0,165.0
t_2093,67.0,120.0,39.0,163.0
t_2094,68.0,130.0,43.0,154.0
t_2095,76.0,141.0,50.0,163.0
t_2096,89.0,159.0,61.0,186.0
t_2097,88.0,158.0,59.0,163.0
t_2098,124.0,104.0,104.0,94.0
t_2099,121.0,95.0,84.0,135.0
t_2100,119.0,92.0,72.0,204.0
t_2101,120.0,93.0,70.0,131.0
t_2102,115.0,115.0,76.0,93.0
t_2103,111.0,159.0,60.0,188.0
t_2104,116.0,170.0,70.0,323.0
t_2105,108.0,173.0,74.0,319.0
t_2106,128.0,207.0,100.0,344.0
t_2107,170.0,267.0,148.0,397.0
t_2108,135.0,212.0,129.0,342.0
t_2109,109.0,174.0,85.0,340.0
t_2110,111.0,166.0,82.0,311.0
t_2111,106.0,160.0,79.0,289.0
t_2112,81.0,150.0,70.0,223.0
t_2113,75.0,143.0,56.0,168.0
t_2114,70.0,132.0,46.0,159.0
t_2115,67.0,125.0,44.0,172.0
t_2116,67.0,120.0,39.0,165.0
t_2117,67.0,120.0,39.0,163.0
t_2118,68.0,130.0,43.0,154.0
t_2119,76.0,141.0,50.0,163.0
t_2120,89.0,159.0,61.0,186.0
t_2121,88.0,158.0,59.0,163.0
t_2122,124.0,104.0,104.0,94.0
t_2123,121.0,95.0,84.0,135.0
t_2124,119.0,92.0,72.0,204.0
t_2125,120.0,93.0,70.0,131.0
t_2126,115.0,115.0,76.0,93.0
t_2127,111.0,159.0,60.0,188.0
t_2128,116.0,170.0,70.0,323.0
t_2129,108.0,173.0,74.0,319.0
t_2130,128.0,207.0,100.0,344.0
t_2131,170.0,267.0,148.0,397.0
t_2132,135.0,212.0,129.0,342.0
t_2133,109.0,174.0,85.0,340.0
t_2134,111.0,166.0,82.0,311.0
t_2135,106.0,160.0,79.0,289.0
t_2136,81.0,150.0,70.0,223.0
t_2137,72.0,108.0,59.0,137.0
t_2138,61.0,106.0,51.0,150.0
t_2139,57.0,97.0,47.0,145.0
t_2140,56.0,96.0,44.0,143.0
t_2141,56.0,95.0,43.0,142.0
t_2142,57.0,95.0,47.0,143.0
t_2143,57.0,101.0,48.0,138.0
t_2144,61.0,101.0,47.0,135.0
t_2145,66.0,95.0,58.0,86.0
t_2146,79.0,66.0,74.0,64.0
t_2147,76.0,64.0,53.0,75.0
t_2148,81.0,55.0,47.0,57.0
t_2149,90.0,56.0,53.0,48.0
t_2150,85.0,75.0,53.0,72.0
t_2151,75.0,99.0,44.0,123.0
t_2152,74.0,105.0,47.0,149.0
t_2153,72.0,116.0,56.0,142.0
t_2154,75.0,111.0,61.0,151.0
t_2155,75.0,112.0,64.0,154.0
t_2156,75.0,110.0,65.0,154.0
t_2157,73.0,109.0,63.0,152.0
t_2158,71.0,104.0,61.0,149.0
t_2159,70.0,114.0,61.0,147.0
t_2160,71.0,110.0,62.0,159.0
t_2161,65.0,108.0,60.0,143.0
t_2162,64.0,100.0,50.0,146.0
t_2163,62.0,95.0,45.0,129.0
t_2164,52.0,93.0,43.0,125.0
t_2165,56.0,91.0,42.0,124.0
t_2166,56.0,95.0,38.0,130.0
t_2167,56.0,84.0,49.0,117.0
t_2168,56.0,84.0,49.0,112.0
t_2169,58.0,80.0,44.0,83.0
t_2170,58.0,78.0,41.0,73.0
t_2171,56.0,80.0,36.0,61.0
t_2172,55.0,77.0,28.0,59.0
t_2173,56.0,79.0,30.0,66.0
t_2174,58.0,79.0,32.0,87.0
t_2175,61.0,86.0,40.0,125.0
t_2176,63.0,90.0,46.0,140.0
t_2177,66.0,97.0,48.0,152.0
t_2178,70.0,105.0,56.0,156.0
t_2179,74.0,112.0,65.0,159.0
t_2180,73.0,110.0,66.0,160.0
t_2181,73.0,108.0,66.0,159.0
t_2182,71.0,106.0,62.0,158.0
t_2183,70.0,102.0,67.0,150.0
t_2184,68.0,105.0,67.0,148.0
t_2185,32.0,43.0,28.0,56.0
t_2186,31.0,44.0,25.0,54.0
t_2187,30.0,46.0,20.0,53.0
t_2188,34.0,42.0,19.0,52.0
t_2189,30.0,42.0,22.0,52.0
t_2190,31.0,41.0,23.0,51.0
t_2191,35.0,45.0,22.0,54.0
t_2192,36.0,37.0,26.0,43.0
t_2193,34.0,34.0,18.0,34.0
t_2194,33.0,31.0,12.0,40.0
t_2195,33.0,32.0,7.0,38.0
t_2196,33.0,27.0,6.0,32.0
t_2197,33.0,27.0,6.0,34.0
t_2198,36.0,28.0,7.0,35.0
t_2199,36.0,31.0,14.0,35.0
t_2200,42.0,40.0,19.0,48.0
t_2201,42.0,45.0,22.0,56.0
t_2202,43.0,49.0,28.0,59.0
t_2203,44.0,43.0,36.0,62.0
t_2204,45.0,45.0,37.0,63.0
t_2205,44.0,50.0,35.0,62.0
t_2206,43.0,48.0,35.0,59.0
t_2207,42.0,48.0,35.0,57.0
t_2208,38.0,43.0,35.0,53.0
t_2209,32.0,43.0,28.0,56.0
t_2210,31.0,44.0,25.0,54.0
t_2211,30.0,46.0,20.0,53.0
t_2212,34.0,42.0,19.0,52.0
t_2213,30.0,42.0,22.0,52.0
t_2214,31.0,41.0,23.0,51.0
t_2215,35.0,45.0,22.0,54.0
t_2216,36.0,37.0,26.0,43.0
t_2217,34.0,34.0,18.0,34.0
t_2218,33.0,31.0,12.0,40.0
t_2219,33.0,32.0,7.0,38.0
t_2220,33.0,27.0,6.0,32.0
t_2221,33.0,27.0,6.0,34.0
t_2222,36.0,28.0,7.0,35.0
t_2223,36.0,31.0,14.0,35.0
t_2224,42.0,40.0,19.0,48.0
t_2225,42.0,45.0,22.0,56.0
t_2226,43.0,49.0,28.0,59.0
t_2227,44.0,43.0,36.0,62.0
t_2228,45.0,45.0,37.0,63.0
t_2229,44.0,50.0,35.0,62.0
t_2230,43.0,48.0,35.0,59.0
t_2231,42.0,48.0,35.0,57.0
t_2232,38.0,43.0,35.0,53.0
t_2233,32.0,43.0,28.0,56.0
t_2234,31.0,44.0,25.0,54.0
t_2235,30.0,46.0,20.0,53.0
t_2236,34.0,42.0,19.0,52.0
t_2237,30.0,42.0,22.0,52.0
t_2238,31.0,41.0,23.0,51.0
t_2239,35.0,45.0,22.0,54.0
t_2240,36.0,37.0,26.0,43.0
t_2241,34.0,34.0,18.0,34.0
t_2242,33.0,31.0,12.0,40.0
t_2243,33.0,32.0,7.0,38.0
t_2244,33.0,27.0,6.0,32.0
t_2245,33.0,27.0,6.0,34.0
t_2246,36.0,28.0,7.0,35.0
t_2247,36.0,31.0,14.0,35.0
t_2248,42.0,40.0,19.0,48.0
t_2249,42.0,45.0,22.0,56.0
t_2250,43.0,49.0,28.0,59.0
t_2251,44.0,43.0,36.0,62.0
t_2252,45.0,45.0,37.0,63.0
t_2253,44.0,50.0,35.0,62.0
t_2254,43.0,48.0,35.0,59.0
t_2255,42.0,48.0,35.0,57.0
t_2256,38.0,43.0,35.0,53.0
t_2257,32.0,43.0,28.0,56.0
t_2258,31.0,44.0,25.0,54.0
t_2259,30.0,46.0,20.0,53.0
t_2260,34.0,42.0,19.0,52.0
t_2261,30.0,42.0,22.0,52.0
t_2262,31.0,41.0,23.0,51.0
t_2263,35.0,45.0,22.0,54.0
t_2264,36.0,37.0,26.0,43.0
t_2265,34.0,34.0,18.0,34.0
t_2266,33.0,31.0,12.0,40.0
t_2267,33.0,32.0,7.0,38.0
t_2268,33.0,27.0,6.0,32.0
t_2269,33.0,27.0,6.0,34.0
t_2270,36.0,28.0,7.0,35.0
t_2271,36.0,31.0,14.0,35.0
t_2272,42.0,40.0,19.0,48.0
t_2273,42.0,45.0,22.0,56.0
t_2274,43.0,49.0,28.0,59.0
t_2275,44.0,43.0,36.0,62.0
t_2276,45.0,45.0,37.0,63.0
t_2277,44.0,50.0,35.0,62.0
t_2278,43.0,48.0,35.0,59.0
t_2279,42.0,48.0,35.0,57.0
t_2280,38.0,43.0,35.0,53.0
t_2281,32.0,43.0,28.0,56.0
t_2282,31.0,44.0,25.0,54.0
t_2283,30.0,46.0,20.0,53.0
t_2284,34.0,42.0,19.0,52.0
t_2285,30.0,42.0,22.0,52.0
t_2286,31.0,41.0,23.0,51.0
t_2287,35.0,45.0,22.0,54.0
t_2288,36.0,37.0,26.0,43.0
t_2289,34.0,34.0,18.0,34.0
t_2290,33.0,31.0,12.0,40.0
t_2291,33.0,32.0,7.0,38.0
t_2292,33.0,27.0,6.0,32.0
t_2293,33.0,27.0,6.0,34.0
t_2294,36.0,28.0,7.0,35.0
t_2295,36.0,31.0,14.0,35.0
t_2296,42.0,40.0,19.0,48.0
t_2297,42.0,45.0,22.0,56.0
t_2298,43.0,49.0,28.0,59.0
t_2299,44.0,43.0,36.0,62.0
t_2300,45.0,45.0,37.0,63.0
t_2301,44.0,50.0,35.0,62.0
t_2302,43.0,48.0,35.0,59.0
t_2303,42.0,48.0,35.0,57.0
t_2304,38.0,43.0,35.0,53.0
t_2305,31.0,42.0,26.0,54.0
t_2306,34.0,37.0,27.0,49.0
t_2307,33.0,35.0,24.0,53.0
t_2308,29.0,35.0,20.0,50.0
t_2309,29.0,35.0,19.0,47.0
t_2310,28.0,35.0,18.0,45.0
t_2311,27.0,31.0,16.0,31.0
t_2312,28.0,22.0,12.0,17.0
t_2313,25.0,20.0,7.0,12.0
t_2314,23.0,18.0,6.0,11.0
t_2315,22.0,16.0,4.0,7.0
t_2316,23.0,13.0,4.0,6.0
t_2317,21.0,16.0,4.0,4.0
t_2318,23.0,17.0,5.0,6.0
t_2319,27.0,21.0,6.0,12.0
t_2320,30.0,27.0,8.0,26.0
t_2321,32.0,32.0,11.0,51.0
t_2322,33.0,33.0,19.0,48.0
