t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_2154,0.008275926,0.029809215,0.009006226,0.042305391,0.022450782,0.009556914,0.152061064,0.055830262,0.00472116,0,0.01929093,0.017713618,0.020858512,0.004797218,0.006516439,0.001566716,0.267420573,0.000267527,0.004493101,0.006835031,0.011656707,0.009937519,0,0.134649346,0.031086816
t_2155,0,0,0,0,0,0,0.027826506,0.002561916,0,0,0,0,0,0,0,0,0.068044824,0,0,0,0,0,0,0.014359578,0
t_2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2165,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76E-05,0,0,0,0,0,0,0,0,0,0,0
t_2166,0.006667919,0,0.004153351,0,0,0,0,0,0.008484775,0.024373734,0,0,0,0.02482125,0,0.017168708,0,0.008809242,0.00554119,5.48E-05,0.000962265,0.002759066,0.02114285,0,0.001680307
t_2167,0.141704155,0.020292597,0.136917065,0.045370778,0.046550673,0.008806655,0.000330499,0.006939755,0.143721833,0.200230439,0.006789589,0.014914785,0.058539735,0.098471769,0.025861083,0.174897084,0,0.02737238,0.045755305,0.021763366,0.088271447,0.133007236,0.192202171,0.000717097,0.07559962
t_2168,0.355414585,0.156220293,0.347287063,0.139324304,0.109011158,0.031653545,0.101438063,0.079029333,0.339339941,0.423751124,0.077384193,0.087964921,0.219680002,0.192415045,0.095335562,0.390583099,0.047972905,0.047205875,0.100299342,0.061167386,0.254049314,0.344989829,0.411971145,0.086682484,0.227648559
t_2169,0.529283182,0.303435503,0.536019182,0.232514078,0.153306323,0.060768749,0.335002423,0.181807267,0.499166575,0.595718642,0.220599942,0.202046433,0.405871136,0.274779472,0.20895552,0.569892379,0.25315299,0.093555502,0.174310718,0.109567033,0.41291541,0.525279484,0.583130482,0.222593939,0.375616899
t_2170,0.65279543,0.378679595,0.674536508,0.295916519,0.205731442,0.08865132,0.545186437,0.28473028,0.611538486,0.717744572,0.38673675,0.31562796,0.576464486,0.336540496,0.332329134,0.69431293,0.47276937,0.155717827,0.233094934,0.169292258,0.521802702,0.650107853,0.708517251,0.338536498,0.477762347
t_2171,0.733129374,0.398243957,0.753500013,0.335522024,0.348607465,0.116425484,0.678699137,0.361646617,0.669596117,0.77358899,0.442558909,0.378777255,0.682729459,0.347710064,0.401417168,0.761351658,0.619964384,0.227095142,0.261761016,0.225212421,0.557221119,0.721163854,0.770438189,0.420088894,0.528572403
t_2172,0.759300031,0.416147402,0.774471002,0.334389953,0.510752352,0.12878163,0.766069832,0.409504413,0.690164554,0.781059212,0.430483053,0.41818675,0.738250439,0.309654811,0.420440899,0.775651311,0.701370213,0.269599829,0.254489662,0.255342208,0.543161895,0.753725834,0.767318536,0.441171095,0.539636755
t_2173,0.698772504,0.412368964,0.717529795,0.304401817,0.533106652,0.129830829,0.805880762,0.426161324,0.664922156,0.736184536,0.423762607,0.495780315,0.726596226,0.260438469,0.415493537,0.738891334,0.731590117,0.236122303,0.235198235,0.241571398,0.537700669,0.723051852,0.713231538,0.423349464,0.495278974
t_2174,0.594945776,0.406451228,0.608195268,0.26305439,0.428505744,0.135752735,0.793464943,0.412878675,0.592381943,0.642762271,0.463670965,0.526651631,0.660916626,0.227761275,0.40233988,0.649243726,0.745260399,0.19719941,0.212740833,0.182648978,0.494775893,0.59568337,0.616181194,0.395799574,0.437071477
t_2175,0.460171178,0.380668765,0.461879162,0.20972677,0.275780809,0.120134161,0.728495821,0.374408373,0.465421313,0.497588607,0.430497576,0.457338991,0.548306723,0.188116443,0.399232432,0.506535668,0.715504831,0.157802437,0.167135848,0.118700195,0.374926946,0.414705297,0.477720529,0.342139047,0.3638743
