t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_7436,0,0.484527963,0,0.941577773,0.831040907,0.943537519,0.95,0.169582226,0.02560841,0,0,0.783995438,0.949999906,0.28759423,0.935888684,0.929158528,0.187780457,0.144467669,0.751530791,0.807246683,0.700381563,0,0,0.406284984,0.060886272
t_7437,0,0.417453446,0,0.929707815,0.815238851,0.947955914,0.949999928,0.133319991,0.034369412,0,0,0.769163827,0.94927419,0.298148211,0.949927249,0.933261081,0.162075485,0.127662327,0.715581254,0.792400582,0.651941117,0,0,0.429310302,0.046190149
t_7438,0,0.411231437,0,0.924333887,0.821631825,0.95,0.949996579,0.129744586,0.046074599,0,0,0.804497203,0.949824998,0.296503355,0.949674559,0.933464802,0.135617366,0.147398934,0.645554544,0.785487758,0.687799359,0,0,0.422831056,0.028410618
t_7439,0,0.435931405,0,0.926285149,0.701663205,0.949929378,0.949885088,0.103261242,0.065141667,0,0,0.841905269,0.95,0.344251313,0.936402533,0.904788218,0.084676334,0.200481446,0.399648505,0.755598958,0.691561486,0,0,0.501033209,0.020931156
t_7440,0,0.602833178,0,0.937251511,0.582935127,0.941243714,0.949923262,0.09606525,0.084272213,0,0,0.895628674,0.949999618,0.360050209,0.92464053,0.893705429,0.042020818,0.183268775,0.220218131,0.731483128,0.685555577,0,0,0.620472648,0.018387019
t_7441,0,0.778488969,0,0.933548175,0.546110359,0.92503296,0.94995673,0.149164031,0.10336192,0,0,0.926870244,0.948941282,0.353603155,0.92501014,0.863747321,0.041590738,0.124466679,0.114318387,0.689406855,0.607783069,0,0,0.697449443,0.017153697
t_7442,0,0.879458529,0,0.932371793,0.65234553,0.919686266,0.949957399,0.22582516,0.123413722,0,0,0.947475391,0.944372612,0.347317355,0.933866795,0.865616177,0.057251352,0.079776965,0.051416624,0.652806979,0.554348543,0.010877695,0,0.745461622,0.016853538
t_7443,0,0.942964384,0,0.935271787,0.828899396,0.929825783,0.949993256,0.305646963,0.147637819,0,0,0.949723084,0.941610282,0.336583878,0.947000454,0.859014767,0.080886072,0.051201016,0.001876895,0.582306338,0.62880065,0.010119867,0,0.791636635,0.018216383
t_7444,0,0.946251639,0,0.947295341,0.926845872,0.94914258,0.949988212,0.398448867,0.171898035,0,0,0.949918403,0.941302408,0.328617536,0.949999493,0.822371648,0.149846715,0.031467452,0,0.494901434,0.760633121,0,0,0.826393402,0.014803365
t_7445,0,0.94433197,0,0.949995196,0.937563415,0.95,0.94995944,0.471382849,0.205256692,0,0,0.949999258,0.949701534,0.314955863,0.95,0.706571757,0.258989788,0.011082098,0,0.474152849,0.838178678,0,0,0.824373912,0.011138104
