t,CH00
908,9304.09
909,8676.28
910,8261.4
911,8269.92
912,7865.05
913,7608.43
914,7366.5
915,7240.54
916,7153.56
917,6907.54
918,7022.57
919,7893.16
920,8814.86
921,9329.671
922,9407.68
923,9428.7
924,9348.25
925,9173.77
926,9275.72
927,9076.281
928,8934.82
929,9003.87
930,9184.92
931,9598.75
932,9148.93
933,8514.12
934,8053.26
935,8066.29
936,7689.4
937,7432.66
938,7225.72
939,7153.74
940,6993.79
941,6757.74
942,6874.69
943,7831.25
944,8732.93
945,9201.739
946,9216.79
947,9234.83
948,9096.91
949,8850.95
950,8943.87
951,8864.879
952,8819.91
953,8903.99
954,9046.04
955,9349.06
956,8976.26
957,8357.44
958,7926.57
959,7900.52
960,7545.62
961,7341.26
962,7159.32
963,7081.34
964,6984.37
965,6759.47
966,6875.55
967,7779.74
968,8686.59
969,9184.571
970,9200.43
971,9216.31
972,9108.26
973,8994.38
974,9060.48
975,8938.574
976,8843.54
977,8766.32
978,8900.95
979,9339.42
980,8957.48
981,8264.69
982,7836.82
983,7942.08
984,7701.16
985,7290.88
986,6977.98
987,6855.01
988,6643.08
989,6375.46
990,6463.63
991,6718.53
992,6872.8
993,7351.955
994,7636.57
995,7830.19
996,7819.06
997,7962.15
998,8056.44
999,7990.592
1000,7926.48
1001,7822.9
1002,8077.15
1003,8302.29
1004,8000.1
1005,7508.25
1006,7063.38
1007,7252.9
1008,7110.94
1009,6815.04
1010,6501.13
1011,6346.18
1012,6250.21
1013,6109.34
1014,6185.3
1015,6230.44
1016,6214.49
1017,6532.434
1018,6733.33
1019,6958.22
1020,6960.2
1021,7230.14
1022,7146.21
1023,6948.293
1024,6827.3
1025,6827.21
1026,7225.98
1027,7690.62
1028,7567.62
1029,7196.73
1030,6862.83
1031,7071.96
1032,6828.03
1033,7642.83
1034,7438.89
1035,7383.9
1036,7284.93
1037,7145.96
1038,7330.91
1039,8153.86
1040,8991.66
1041,9483.559
1042,9609.47
1043,9702.4
1044,9666.88
1045,9480.47
1046,9578.48
1047,9458.039
1048,9278.57
1049,9225.48
