t,demand_[MWh]
1147,3424.34
1148,3804.6
1149,3804.6
1150,3804.6
1151,3043.46
1152,3043.46
1153,2985.68
1154,2985.68
1155,2985.68
1156,2985.68
1157,2612.6
1158,2239.44
1159,1119.66
1160,746.5
1161,373.16
1162,746.5
1163,1119.66
1164,1306.26
1165,1119.66
1166,746.5
1167,559.82
1168,746.5
1169,1492.86
1170,2239.44
1171,3358.82
1172,3731.74
1173,3731.74
1174,3731.74
1175,2985.68
1176,2985.68
1177,3109.16
1178,3109.16
1179,3109.16
1180,3109.16
1181,2720
1182,2331.46
1183,1165.82
1184,777.18
1185,388.62
1186,777.18
1187,1165.82
1188,1360.1
1189,1165.82
1190,777.18
1191,583
1192,777.18
1193,1554.42
1194,2331.46
1195,3497.56
1196,3886.22
1197,3886.22
1198,3886.22
1199,3109.16
1200,3109.16
1201,3219.1
1202,3219.1
1203,3219.1
1204,3219.1
1205,2816.46
1206,2414.14
1207,1207.02
1208,804.74
1209,402.3
1210,804.74
1211,1207.02
1212,1408.22
1213,1207.02
1214,804.74
1215,603.52
1216,804.74
1217,1609.44
1218,2414.14
1219,3621.62
1220,4022.92
1221,4022.92
1222,4022.92
1223,3219.1
1224,3219.1
1225,3187.1
1226,3187.1
1227,3187.1
1228,3187.1
1229,2788.68
1230,2390.42
1231,1195.2
1232,796.9
1233,398.38
1234,796.9
1235,1195.2
1236,1394.4
1237,1195.2
1238,796.9
1239,597.62
1240,796.9
1241,1593.64
1242,2390.42
1243,3586.22
1244,3983.72
1245,3983.72
1246,3983.72
1247,3187.1
1248,3187.1
1249,3097.72
1250,3097.72
1251,3097.72
1252,3097.72
1253,2710.1
1254,2323.22
1255,1161.62
1256,774.42
1257,387.2
1258,774.42
1259,1161.62
1260,1355.22
1261,1161.62
1262,774.42
1263,580.86
1264,774.42
1265,1548.88
1266,2323.22
1267,3485.28
1268,3872.1
1269,3872.1
1270,3872.1
1271,3097.72
1272,3097.72
1273,2970.02
1274,2970.02
1275,2970.02
1276,2970.02
1277,2598.54
1278,2227.5
1279,1113.76
1280,742.44
1281,371.32
1282,742.44
1283,1113.76
1284,1299.36
1285,1113.76
1286,742.44
1287,556.9
1288,742.44
1289,1485
1290,2227.5
1291,3340.9
1292,3713.04
1293,3713.04
1294,3713.04
1295,2970.02
1296,2970.02
1297,2878.54
1298,2878.54
1299,2878.54
1300,2878.54
1301,2518.7
1302,2158.64
1303,1079.36
1304,719.6
1305,359.82
1306,719.6
1307,1079.36
1308,1259.26
1309,1079.36
1310,719.6
1311,539.66
1312,719.6
1313,1439.14
1314,2158.64
1315,3237.9
1316,3598.24
1317,3598.24
1318,3598.24
1319,2878.54
1320,2878.54
1321,2924.2
1322,2924.2
1323,2924.2
1324,2924.2
1325,2558.48
1326,2193.32
1327,1096.58
1328,731.04
1329,365.56
1330,731.04
1331,1096.58
1332,1279.22
1333,1096.58
1334,731.04
1335,548.24
1336,731.04
1337,1462.06
1338,2193.32
1339,3289.38
1340,3655.4
1341,3655.4
1342,3655.4
1343,2924.2
1344,2924.2
1345,3011.62
1346,3011.62
1347,3011.62
1348,3011.62
1349,2635.7
1350,2259
1351,1129.46
1352,752.98
1353,376.44
1354,752.98
1355,1129.46
1356,1317.76
1357,1129.46
1358,752.98
1359,564.72
1360,752.98
1361,1505.96
1362,2259
1363,3388.34
1364,3764.4
1365,3764.4
1366,3764.4
1367,3011.62
1368,3011.62
1369,3043.46
1370,3043.46
1371,3043.46
1372,3043.46
1373,2663.56
