t,demand_[MWh]
t_1109, 13.30 
t_1110, 43.07 
t_1111, 154.16 
t_1112, 241.73 
t_1113, 209.63 
t_1114, 167.73 
t_1115, 159.09 
t_1116, 158.34 
t_1117, 203.37 
t_1118, 188.97 
t_1119, 162.91 
t_1120, 163.51 
t_1121, 212.45 
t_1122, 313.44 
t_1123, 288.59 
t_1124, 198.00 
t_1125, 117.65 
t_1126, 74.54 
t_1127, 69.45 
t_1128, 46.75 
t_1129, 29.90 
t_1130, 24.50 
t_1131, 12.28 
t_1132, 10.54 
t_1133, 9.67 
t_1134, 19.38 
t_1135, 38.61 
t_1136, 87.83 
t_1137, 147.65 
t_1138, 241.56 
t_1139, 265.31 
t_1140, 226.06 
t_1141, 209.16 
t_1142, 226.83 
t_1143, 262.64 
t_1144, 241.10 
t_1145, 232.69 
t_1146, 209.06 
t_1147, 180.52 
t_1148, 125.91 
t_1149, 99.24 
t_1150, 84.49 
t_1151, 88.11 
t_1152, 75.15 
t_1153, 35.38 
t_1154, 38.60 
t_1155, 22.50 
t_1156, 16.02 
t_1157, 12.45 
t_1158, 17.02 
t_1159, 23.69 
t_1160, 51.50 
t_1161, 88.17 
t_1162, 147.54 
t_1163, 180.72 
t_1164, 199.05 
t_1165, 167.15 
t_1166, 195.85 
t_1167, 227.77 
t_1168, 226.49 
t_1169, 209.78 
t_1170, 196.88 
t_1171, 158.07 
t_1172, 111.84 
t_1173, 82.27 
t_1174, 63.59 
t_1175, 44.20 
t_1176, 28.87 
t_1177, 3.73 
t_1178, 4.17 
t_1179, 4.08 
t_1180, 5.94 
t_1181, 13.30 
t_1182, 43.07 
t_1183, 154.16 
t_1184, 241.73 
t_1185, 209.63 
t_1186, 167.73 
t_1187, 159.09 
t_1188, 158.34 
t_1189, 203.37 
t_1190, 188.97 
t_1191, 162.91 
t_1192, 163.51 
t_1193, 212.45 
t_1194, 313.44 
t_1195, 288.59 
t_1196, 198.00 
t_1197, 117.65 
t_1198, 74.54 
t_1199, 69.45 
t_1200, 46.75 
t_1201, 3.73 
t_1202, 4.17 
t_1203, 4.08 
t_1204, 5.94 
t_1205, 13.30 
t_1206, 43.07 
t_1207, 154.16 
t_1208, 241.73 
t_1209, 209.63 
t_1210, 167.73 
t_1211, 159.09 
t_1212, 158.34 
t_1213, 203.37 
t_1214, 188.97 
t_1215, 162.91 
t_1216, 163.51 
t_1217, 212.45 
t_1218, 313.44 
t_1219, 288.59 
t_1220, 198.00 
t_1221, 117.65 
t_1222, 74.54 
t_1223, 69.45 
t_1224, 46.75 
t_1225, 3.73 
t_1226, 4.17 
t_1227, 4.08 
t_1228, 5.94 
t_1229, 13.30 
t_1230, 43.07 
t_1231, 154.16 
t_1232, 241.73 
t_1233, 209.63 
t_1234, 167.73 
t_1235, 159.09 
t_1236, 158.34 
t_1237, 203.37 
t_1238, 188.97 
t_1239, 162.91 
t_1240, 163.51 
t_1241, 212.45 
t_1242, 313.44 
t_1243, 288.59 
t_1244, 198.00 
t_1245, 117.65 
t_1246, 74.54 
t_1247, 69.45 
t_1248, 46.75 
t_1249, 3.73 
t_1250, 4.17 
t_1251, 4.08 
t_1252, 5.94 
t_1253, 13.30 
t_1254, 43.07 
t_1255, 154.16 
t_1256, 241.73 
t_1257, 209.63 
t_1258, 167.73 
t_1259, 159.09 
t_1260, 158.34 
t_1261, 203.37 
t_1262, 188.97 
t_1263, 162.91 
t_1264, 163.51 
t_1265, 212.45 
t_1266, 313.44 
t_1267, 288.59 
t_1268, 198.00 
t_1269, 117.65 
t_1270, 74.54 
t_1271, 69.45 
t_1272, 46.75 
t_1273, 3.73 
t_1274, 4.17 
t_1275, 4.08 
t_1276, 5.94 
t_1277, 13.30 
t_1278, 43.07 
t_1279, 154.16 
t_1280, 241.73 
t_1281, 209.63 
t_1282, 167.73 
t_1283, 159.09 
t_1284, 158.34 
t_1285, 203.37 
t_1286, 188.97 
t_1287, 162.91 
t_1288, 163.51 
t_1289, 212.45 
t_1290, 313.44 
t_1291, 288.59 
t_1292, 198.00 
t_1293, 117.65 
t_1294, 74.54 
t_1295, 69.45 
t_1296, 46.75 
t_1297, 29.90 
t_1298, 24.50 
t_1299, 12.28 
t_1300, 10.54 
t_1301, 9.67 
t_1302, 19.38 
t_1303, 38.61 
t_1304, 87.83 
t_1305, 147.65 
t_1306, 241.56 
t_1307, 265.31 
t_1308, 226.06 
t_1309, 209.16 
t_1310, 226.83 
t_1311, 262.64 
t_1312, 241.10 
t_1313, 232.69 
t_1314, 209.06 
t_1315, 180.52 
t_1316, 125.91 
t_1317, 99.24 
t_1318, 84.49 
t_1319, 88.11 
t_1320, 75.15 
t_1321, 35.38 
t_1322, 38.60 
t_1323, 22.50 
t_1324, 16.02 
t_1325, 12.45 
t_1326, 17.02 
t_1327, 23.69 
t_1328, 51.50 
t_1329, 88.17 
t_1330, 147.54 
t_1331, 180.72 
t_1332, 199.05 
t_1333, 167.15 
t_1334, 195.85 
t_1335, 227.77 
t_1336, 226.49 
t_1337, 209.78 
t_1338, 196.88 
t_1339, 158.07 
t_1340, 111.84 
t_1341, 82.27 
t_1342, 63.59 
t_1343, 44.20 
t_1344, 28.87 
t_1345, 3.73 
t_1346, 4.17 
t_1347, 4.08 
t_1348, 5.94 
t_1349, 13.30 
t_1350, 43.07 
t_1351, 154.16 
t_1352, 241.73 
t_1353, 209.63 
t_1354, 167.73 
t_1355, 159.09 
t_1356, 158.34 
t_1357, 203.37 
t_1358, 188.97 
t_1359, 162.91 
