"area","technology","variable","value"
"NON1","pumped_open","sto_GWh",23092.4
"NON1","pumped_closed","sto_GWh",0
"NOS0","reservoir","pumping_cap_MW",0
"NOS0","pumped_open","pumping_cap_MW",-1015.6
"NOS0","pumped_closed","pumping_cap_MW",0
"NOS0","reservoir","gen_cap_MW",0
"NOS0","pumped_open","gen_cap_MW",25352
"NOS0","pumped_closed","gen_cap_MW",0
"NOS0","reservoir","sto_GWh",0
"NOS0","pumped_open","sto_GWh",57825.3
"NOS0","pumped_closed","sto_GWh",0
"PL00","reservoir","pumping_cap_MW",0
"PL00","pumped_open","pumping_cap_MW",-172
"PL00","pumped_closed","pumping_cap_MW",-1486
"PL00","reservoir","gen_cap_MW",271.48
"PL00","pumped_open","gen_cap_MW",216.26
"PL00","pumped_closed","gen_cap_MW",1323.1
"PL00","reservoir","sto_GWh",0.82
"PL00","pumped_open","sto_GWh",1.5
"PL00","pumped_closed","sto_GWh",6.34
"PT00","reservoir","pumping_cap_MW",0
"PT00","pumped_open","pumping_cap_MW",-3579
"PT00","pumped_closed","pumping_cap_MW",0
"PT00","reservoir","gen_cap_MW",3765.5
"PT00","pumped_open","gen_cap_MW",3832
"PT00","pumped_closed","gen_cap_MW",0
"PT00","reservoir","sto_GWh",1289.5999999999997
"PT00","pumped_open","sto_GWh",2017.9
"PT00","pumped_closed","sto_GWh",0
"RO00","reservoir","pumping_cap_MW",0
"RO00","pumped_open","pumping_cap_MW",-102.7
"RO00","pumped_closed","pumping_cap_MW",0
"RO00","reservoir","gen_cap_MW",2579.2380000000003
"RO00","pumped_open","gen_cap_MW",838.7439999999999
"RO00","pumped_closed","gen_cap_MW",0
"RO00","reservoir","sto_GWh",2425.31
"RO00","pumped_open","sto_GWh",1506.4
"RO00","pumped_closed","sto_GWh",0
"RS00","reservoir","pumping_cap_MW",0
"RS00","pumped_open","pumping_cap_MW",0
"RS00","pumped_closed","pumping_cap_MW",-760
"RS00","reservoir","gen_cap_MW",434.27
"RS00","pumped_open","gen_cap_MW",0
"RS00","pumped_closed","gen_cap_MW",814
"RS00","reservoir","sto_GWh",646
"RS00","pumped_open","sto_GWh",0
"RS00","pumped_closed","sto_GWh",254
"SE01","reservoir","pumping_cap_MW",0
"SE01","pumped_open","pumping_cap_MW",0
"SE01","pumped_closed","pumping_cap_MW",0
"SE01","reservoir","gen_cap_MW",5444
"SE01","pumped_open","gen_cap_MW",0
"SE01","pumped_closed","gen_cap_MW",0
"SE01","reservoir","sto_GWh",14426.307
"SE01","pumped_open","sto_GWh",0
"SE01","pumped_closed","sto_GWh",0
"SE02","reservoir","pumping_cap_MW",0
"SE02","pumped_open","pumping_cap_MW",0
"SE02","pumped_closed","pumping_cap_MW",0
"SE02","reservoir","gen_cap_MW",8075.1
"SE02","pumped_open","gen_cap_MW",0
"SE02","pumped_closed","gen_cap_MW",0
"SE02","reservoir","sto_GWh",14798.5989
"SE02","pumped_open","sto_GWh",0
"SE02","pumped_closed","sto_GWh",0
"SE03","reservoir","pumping_cap_MW",0
"SE03","pumped_open","pumping_cap_MW",0
"SE03","pumped_closed","pumping_cap_MW",0
"SE03","reservoir","gen_cap_MW",2583
"SE03","pumped_open","gen_cap_MW",0
